Tectonic regime,Lithology,Structural setting,Gross,Netpay,Porosity,Permeability,Depth,Oil density,Oil recovery factor,NGE
COMPRESSION,SANDSTONE,INTRACRATONIC,22.5,7.2,20.0,130.0,2352.3,865.4434250764525,0.55,0.32
COMPRESSION,SANDSTONE,INTRACRATONIC,15.6,5.7,20.0,170.0,2258.7,865.4434250764525,0.52,0.3653846153846154
COMPRESSION,SANDSTONE,INTRACRATONIC,20.7,8.1,22.0,108.0,1809.0,865.4434250764525,0.47,0.391304347826087
COMPRESSION,SANDSTONE,INTRACRATONIC,390.0,42.0,19.0,3.6,2303.1,870.7692307692308,0.29,0.1076923076923077
COMPRESSION,LIMESTONE,INVERSION,198.0,45.0,19.0,120.0,2258.7,909.967845659164,0.34,0.22727272727272727
COMPRESSION,LOW-RESISTIVITY SANDSTONE,FORELAND,21.0,1.2,25.0,170.0,885.0,854.9848942598187,0.13,0.05714285714285714
INVERSION,LOW-RESISTIVITY SANDSTONE,INVERSION,43.5,13.5,18.0,700.0,2535.0,825.0728862973759,0.35,0.3103448275862069
COMPRESSION,LIMESTONE,FORELAND,30.0,24.3,18.0,202.0,2070.0,870.7692307692308,0.45,0.81
COMPRESSION,LIMESTONE,FORELAND,30.0,24.9,15.0,310.0,2130.0,834.8082595870205,0.45,0.83
COMPRESSION,SANDSTONE,FORELAND,480.0,69.0,20.0,450.0,483.9,946.4882943143813,0.2,0.14375
GRAVITY,SANDSTONE,SALT,120.0,10.5,22.0,600.0,1816.8,821.7189314750292,0.5,0.0875
COMPRESSION,LIMESTONE,FORELAND,226.8,120.0,11.8,37.0,1759.8,825.0728862973759,0.48,0.5291005291005291
INVERSION,LIMESTONE,BACKARC,180.0,25.8,24.5,10.0,817.5,876.1609907120743,0.25,0.14333333333333334
COMPRESSION,LIMESTONE,THRUST,52.5,34.5,14.0,10.0,1107.3,946.4882943143813,0.14,0.6571428571428571
COMPRESSION,SANDSTONE,THRUST,157.8,56.7,12.0,8.0,1650.0,854.9848942598187,0.49,0.3593155893536122
COMPRESSION,SANDSTONE,BACKARC,600.0,33.0,17.930090497737563,120.0,276.0,775.3424657534247,0.38,0.055
EXTENSION,SANDSTONE,SUB-SALT,900.0,480.0,12.0,45.0,3150.0,915.8576051779936,0.44,0.5333333333333333
COMPRESSION,DOLOMITE,RIFT,2304.0,164.4,17.930090497737563,1.0,2558.1,889.937106918239,0.32,0.07135416666666666
COMPRESSION,SANDSTONE,INTRACRATONIC,540.0,270.6,9.0,5.0,2460.0,806.2678062678062,0.32,0.5011111111111112
GRAVITY,SANDSTONE,SALT,75.0,30.0,25.0,500.0,891.9,860.1823708206688,0.46,0.4
COMPRESSION,SANDSTONE,FORELAND,34.5,8.7,19.0,375.0,1638.9,806.2678062678062,0.48,0.25217391304347825
GRAVITY,SANDSTONE,SALT,150.0,156.0,30.0,1000.0,1050.0,870.7692307692308,0.3,1.04
COMPRESSION,SANDSTONE,FORELAND,30.0,7.5,11.3,97.0,3067.5,876.1609907120743,0.45,0.25
COMPRESSION,LOW-RESISTIVITY SANDSTONE,INVERSION,111.0,11.7,17.930090497737563,400.0,2805.0,878.8819875776397,0.33,0.1054054054054054
INVERSION,LOW-RESISTIVITY SANDSTONE,INVERSION,96.0,13.8,16.0,400.0,2682.0,881.6199376947039,0.33,0.14375000000000002
COMPRESSION,CHALKY LIMESTONE,SALT,60.0,33.0,27.0,7.0,1343.4,854.9848942598187,0.43,0.55
COMPRESSION,SANDSTONE,FORELAND,30.0,21.3,19.0,52.0,390.0,839.7626112759642,0.5,0.7100000000000001
GRAVITY,SANDSTONE,DELTA,2021.7,150.0,23.0,250.0,354.0,839.7626112759642,0.54,0.07419498441905327
INVERSION,SANDSTONE,RIFT,123.0,6.0,28.0,1000.0,1181.7,921.8241042345276,0.25,0.04878048780487805
EXTENSION,THINLY-BEDDED SANDSTONE,RIFT,120.0,29.4,20.0,250.0,2256.9,862.8048780487803,0.47,0.245
EXTENSION,SANDSTONE,RIFT,108.0,87.0,16.0,100.0,2982.0,844.7761194029849,0.465,0.8055555555555556
INVERSION,SANDSTONE,BACKARC,150.0,54.0,28.0,1628.0,1702.5,820.2898550724636,0.5,0.36
COMPRESSION,SANDSTONE,FORELAND,285.3,20.1,12.0,7.9,2755.8,820.2898550724636,0.26,0.07045215562565721
COMPRESSION,SANDSTONE,RIFT,255.0,210.0,17.930090497737563,60.0,2737.5,865.4434250764525,0.27,0.8235294117647058
STRIKE-SLIP,SANDSTONE,WRENCH,531.6,78.6,20.0,50.0,1386.9,829.9120234604104,0.39,0.14785553047404063
COMPRESSION,DOLOMITE,WRENCH,390.0,123.0,17.930090497737563,135.0,3732.0,854.9848942598187,0.32,0.3153846153846154
COMPRESSION,DOLOMITE,FORELAND,270.0,21.0,12.0,10.0,1530.0,876.1609907120743,0.45,0.07777777777777778
INVERSION,SANDSTONE,INVERSION,246.0,118.2,24.0,2000.0,1104.6,792.7170868347339,0.05,0.4804878048780488
COMPRESSION,LIMESTONE,FORELAND,55.5,10.3,6.8,54.0,2550.0,838.7670420865442,0.35,0.1855855855855856
COMPRESSION,DOLOMITE,FORELAND,120.0,27.0,8.8,15.0,1230.0,852.4096385542167,0.27,0.225
GRAVITY,SANDSTONE,DELTA,180.0,32.1,31.0,500.0,2973.0,876.1609907120743,0.2,0.17833333333333334
